medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
F603D179CACCD05BB9DFED00C077256E,ED4D0063B57040B51432B89A7AD90180,CMT,1,N,2013-01-10 18:14:51,2013-01-10 18:25:34,1,643,.60,-73.976051,40.761189,-73.9776,40.753593
A25F71D0BA7B869E60D372EBC6590544,C167F5161A409E1278C3A301B81436B9,CMT,1,N,2013-01-10 13:54:14,2013-01-10 14:08:21,3,846,3.10,-74.002518,40.722958,-74.004005,40.706757
C291E4F982CE74F51D4C388CD2595B80,336D80820DA08AFFAA273C07403731EC,CMT,1,N,2013-01-05 22:23:06,2013-01-05 22:32:49,1,582,2.10,-73.94651,40.81665,-73.967422,40.793011
2FD34773ECCE76E331A8158107BA3BE4,702CC5154287B4211705B6C03203B64C,CMT,1,N,2013-01-08 19:13:36,2013-01-08 19:21:16,1,460,1.40,-73.975105,40.76215,-73.991386,40.750519
4197F25AF85DB6B8202C033EF63F8566,88D281D5AECDB0ADE5DB38E685B6372D,CMT,1,N,2013-01-01 14:04:26,2013-01-01 14:19:19,1,893,6.30,-73.984116,40.729271,-73.941582,40.801353
F603D179CACCD05BB9DFED00C077256E,ED4D0063B57040B51432B89A7AD90180,CMT,1,N,2013-01-10 16:51:22,2013-01-10 17:01:49,1,626,2.20,-73.982536,40.745468,-73.962555,40.772614
C86013D0B08D7D2D0A96F64AB3433C19,860153BE9CF88D44A0150C2E8C55511B,CMT,1,N,2013-01-07 19:03:51,2013-01-07 19:10:09,1,378,.90,-73.987717,40.749683,-73.971352,40.744431
B5A2A6106AC22D527F0DAF3E68E6E320,4C1141EBEA4FF8C17E9A4EB462C0E068,CMT,1,N,2013-01-10 14:41:07,2013-01-10 14:55:22,1,854,4.10,-74.013092,40.705669,-74.002724,40.760696
5CF09A42016D31DFC3A6DE11E5AC9FB2,241319B38A234B0E5D2607F1AE61C57A,CMT,1,N,2013-01-06 01:18:54,2013-01-06 01:22:11,1,197,.50,-73.947182,40.800976,-73.952759,40.805904
BE0D3683875A995FEE92A33454EAFD63,AC99FB0A0D30B0A8DB3D56D71F789771,CMT,1,N,2013-01-06 23:05:29,2013-01-06 23:14:45,1,555,3.90,-73.959084,40.763367,-73.927711,40.807022
147002FAF76497AC25B0EEC00EAB59F2,A432753283A8A794B86020D687756B27,CMT,1,N,2013-01-07 20:53:18,2013-01-07 20:58:18,1,299,1.30,-73.992508,40.742462,-73.977371,40.752129
8E9737BE91A1F8A8D399EBE450615F0B,C5A2B6360DF20E428888770D0DCF0062,CMT,1,N,2013-01-10 07:35:07,2013-01-10 07:38:01,1,173,.60,-73.99073,40.756233,-73.983078,40.760754
